MAZ,TAZ,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGREMPN,CIACRE,COLLFTE,COLLPTE,COUNTY,DISTRICT,EMPRES,FPSEMPN,HEREMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,HHPOP,HSENROLL,MFDU,MWTEMPN,OPRKCST,OTHEMPN,PRKCST,RESACRE,RETEMPN,SD,SFDU,SHPOP62P,TERMINAL,TOPOLOGY,TOTACRE,TOTEMP,TOTHH,TOTPOP,ZERO,area_type,gqpop,hhlds,sftaz,GSENROLL,transit_score,transit_score_scaled,sfunits,mfunits,percent_mf,mixed_use2_1,density_index,buff_density_index,density,mixed_use3_1,hh_1,emptot_1,hh_2,emptot_2,access_dist_transit
47,347,1,2,1,10,7,0,0.0,0.0,0.0,1,-1,7,0,0,0,2,1,5,21,2,-1,0,-1.0,0,0.0,1.4709007221148362,0,-1,-1,0.4285714285714285,2.0,1,1.4709007221148362,0,8,21,0,4,-1,-1,-1,0,133.31705062536375,41.43147221009027,8.0,0.0,0.0,0.638805753291738,0.0,69.57887505902052,14.276966272615976,0.2323299175855712,429.7979675471791,83.01852874599973,1487.888527283843,706.5990098558949,0.0729402952483205
48,348,3,17,16,21,14,0,0.0,0.0,0.0,1,-1,32,0,0,2,0,1,21,71,17,-1,0,-1.0,0,0.0,3.4945847048028225,0,-1,-1,0.2394366197183098,2.0,1,3.4945847048028225,0,24,71,0,4,-1,-1,-1,0,131.7150191939822,41.26005880715604,24.0,0.0,0.0,0.7361238485182799,0.0,100.14427425323528,20.317149532080403,0.2889434044011941,483.288765098658,126.3194533444917,1670.735539155305,739.0383122449682,0.1704599816204506
49,345,3,7,11,26,4,0,0.0,0.0,0.0,1,-1,24,0,0,0,1,3,17,51,7,-1,0,-1.0,0,0.0,2.8033169454779507,0,-1,-1,0.2156862745098039,2.0,1,2.8033169454779507,0,21,51,0,4,-1,-1,-1,0,142.00089401662098,42.32644117292638,21.0,0.0,0.0,0.2354571292350898,0.0,26.051220127749176,18.19273417594412,0.0540157420525039,676.3327662698806,27.094869719484795,2388.604861736908,422.1888554622551,0.260535436939345
50,334,1,11,16,24,3,0,0.0,0.0,0.0,1,-1,36,0,0,2,2,1,16,55,11,-1,0,-1.0,0,0.0,3.0858473176141743,0,-1,-1,0.0909090909090909,3.0,1,3.0858473176141743,0,21,55,0,4,-1,-1,-1,0,237.1972931124512,49.61570418470076,21.0,0.0,0.0,0.9142753111860034,0.0,237.51762975971147,17.823305672337444,0.4186798613887338,721.1401063292126,354.16775910613785,2324.956410931884,2049.790093202213,0.0875814257801829
51,333,1,7,11,31,3,0,0.0,0.0,0.0,1,-1,37,0,0,1,4,2,17,53,7,-1,0,-1.0,0,0.0,3.382679196472448,0,-1,-1,0.1132075471698113,2.0,1,3.382679196472448,0,24,53,0,4,-1,-1,-1,0,202.5954457768975,47.37335594204811,24.0,0.0,0.0,0.6928767489098769,0.0,177.0366845897153,15.6680539068765,0.3255311258958254,952.1745220776122,217.47076763240733,3040.379337214012,1950.210288225296,0.0353968309077905
54,350,21,6,146,58,50,3,0.4729144517816154,0.0,0.0,1,-1,160,10,5,31,18,47,58,281,6,-1,2,-1.0,0,0.0,2.827424701077318,9,-1,-1,0.2170818505338078,3.0,1,3.3003391528589336,47,154,281,0,1,-1,-1,-1,0,417.9684915681596,57.682795971045785,26.0,2210.0,0.9883720930232558,0.9780421526766016,10.910984774871528,538.8712265198442,120.7451663429189,0.3896710819683615,1304.8151169867558,917.9880291801372,4292.045478697477,3091.414002053967,0.1451455577138507
55,350,4,7,48,18,11,0,0.0,0.0,0.0,1,-1,53,0,0,5,2,16,12,88,7,-1,0,-1.0,0,0.0,3.308657413759398,0,-1,-1,0.1704545454545454,3.0,1,3.308657413759398,0,35,88,0,4,-1,-1,-1,0,323.6564476588954,54.03953627279695,21.0,0.0,0.0,0.9355623520944364,0.0,295.384911846953,26.596890821649527,0.3559021659668563,839.9175178003305,455.61819300018976,3522.838600586075,2176.564668187189,0.197349842978524
56,332,0,2,4,4,4,0,0.0,0.0,0.0,1,-1,7,0,0,1,4,1,3,14,2,-1,0,-1.0,0,0.0,11.099131089119584,0,-1,-1,0.2857142857142857,2.0,1,11.099131089119584,0,9,14,0,5,-1,-1,-1,0,199.35866047472507,47.144415183925126,9.0,0.0,0.0,0.8826421338671414,0.0,153.69592866387052,1.261360000849447,0.4315101375549418,510.4331089219468,219.9139731939088,1655.4324814963843,1667.464586055315,0.1420292931373672
57,351,33,19,331,72,18,3,0.1929505176256819,0.0,0.0,1,-1,308,4,1,32,85,79,83,473,19,-1,10,-1.0,0,0.0,1.3621730572678736,7,-1,-1,0.0591966173361522,3.0,1,1.5551235748935557,67,279,473,0,0,-1,-1,-1,0,614.3556414171037,63.1742911342115,0.0,0.0,0.0,0.9962791574437532,34.740654976175506,716.3317312524176,411.8643755007319,0.5049265165882392,1336.7021465168398,1543.468449208854,4486.68322462594,4016.693542278196,0.0495691657788825
112,334,1,4,2,5,3,0,0.0,0.0,0.0,1,-1,7,0,0,0,1,0,4,15,4,-1,0,-1.0,0,0.0,0.6570771181441097,0,-1,-1,0.2666666666666666,3.0,1,0.6570771181441097,0,5,15,0,4,-1,-1,-1,0,237.68234618768847,49.64476532073941,5.0,0.0,0.0,0.7871531715579888,0.0,166.14597336586215,22.82837065208868,0.3575333822834778,706.073469173018,217.27225361655192,2505.6553225157318,1981.440138553398,0.1575256289857806
