tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
1,7,17100059,work,mandatory,14261.0,2902,8.0,8.0,WALK,0
3,38,17100248,work,mandatory,9807.0,13169,7.0,7.0,BIKE,0
4,38,17100248,social,non_mandatory,21464.0,13169,17.0,17.0,WALK,0
5,43,17100303,work,mandatory,4101.0,1469,7.0,7.0,DRIVEALONEFREE,0
6,43,17100303,shopping,non_mandatory,66099.0,1469,17.0,17.0,SHARED2FREE,0
8,44,17100303,work,mandatory,29172.0,3874,9.0,9.0,WALK_LOC,0
7,43,17100303,shopping,joint,9505.0,1469,20.0,20.0,SHARED2FREE,0
10,47,17100342,work,mandatory,21615.0,21436,7.0,7.0,WALK_LOC,0
12,48,17100342,work,mandatory,3387.0,21436,10.0,10.0,SHARED3FREE,0
14,51,17100410,work,mandatory,33097.0,746,9.0,9.0,WALK_LOC,0
15,69,17100501,work,mandatory,18218.0,28618,7.0,7.0,WALK_LOC,0
16,74,17100652,work,mandatory,34223.0,5804,9.0,9.0,DRIVEALONEFREE,0
17,74,17100652,work,mandatory,34223.0,5804,13.0,13.0,DRIVEALONEFREE,0
19,75,17100652,social,non_mandatory,35782.0,5804,15.0,15.0,WALK,0
18,74,17100652,social,joint,16098.0,5804,19.0,19.0,SHARED2FREE,0
22,77,17100654,escort,non_mandatory,2090.0,18260,16.0,16.0,SHARED2FREE,0
21,77,17100654,shopping,non_mandatory,2817.0,18260,11.0,11.0,DRIVEALONEFREE,0
25,83,17100675,social,non_mandatory,14892.0,63106,11.0,11.0,SHARED2FREE,0
26,105,17100818,work,mandatory,15372.0,4369,8.0,8.0,DRIVEALONEFREE,0
28,108,17100834,school,mandatory,15990.0,19537,8.0,8.0,WALK,0
29,109,17100834,social,non_mandatory,13673.0,19537,7.0,7.0,WALK,0
30,116,17100868,work,mandatory,24463.0,3189,7.0,7.0,WALK_LOC,0
31,130,17100942,work,mandatory,32318.0,21671,8.0,8.0,WALK_LOC,0
33,135,17100964,work,mandatory,9683.0,35782,8.0,8.0,SHARED2FREE,0
34,135,17100964,othmaint,non_mandatory,17675.0,35782,18.0,18.0,WALK,0
35,136,17100964,work,mandatory,3532.0,35782,6.0,6.0,WALK_LOC,0
37,141,17100986,shopping,non_mandatory,33509.0,21088,17.0,17.0,DRIVEALONEFREE,0
38,146,17101042,social,non_mandatory,32046.0,3193,14.0,14.0,WALK_LOC,0
39,149,17101086,work,mandatory,21189.0,34349,8.0,8.0,WALK_LOC,0
40,150,17101086,work,mandatory,14424.0,34349,7.0,7.0,DRIVEALONEFREE,0
42,151,17101086,school,mandatory,4158.0,34349,8.0,8.0,WALK_LOC,0
43,154,17101130,eatout,non_mandatory,21467.0,31711,8.0,8.0,DRIVEALONEFREE,0
44,154,17101130,eatout,non_mandatory,12097.0,31710,12.0,12.0,WALK,0
45,154,17101130,social,non_mandatory,14391.0,31711,16.0,16.0,WALK,0
46,159,17101223,work,mandatory,29987.0,9778,5.0,5.0,SHARED3FREE,0
47,159,17101223,escort,non_mandatory,17225.0,9778,17.0,17.0,SHARED2FREE,0
48,159,17101223,escort,non_mandatory,17225.0,9778,18.0,18.0,SHARED2FREE,0
50,160,17101223,work,mandatory,12926.0,9778,8.0,8.0,SHARED3FREE,0
49,160,17101223,escort,non_mandatory,844.0,9778,7.0,7.0,SHARED2FREE,0
51,161,17101223,school,mandatory,7726.0,9778,7.0,7.0,WALK_LOC,0
52,162,17101223,school,mandatory,432.0,9778,8.0,8.0,SHARED3FREE,0
53,162,17101223,social,non_mandatory,17225.0,9778,17.0,17.0,SHARED2FREE,0
54,163,17101223,school,mandatory,12386.0,9778,8.0,8.0,SHARED3FREE,0
55,169,17101263,work,mandatory,12152.0,10056,12.0,12.0,WALK,0
56,169,17101263,work,mandatory,12152.0,9526,17.0,17.0,WALK,0
57,173,17101325,social,non_mandatory,9652.0,12055,14.0,14.0,SHARED2FREE,0
58,174,17101325,social,non_mandatory,9652.0,12055,14.0,14.0,SHARED2FREE,0
59,179,17101375,work,mandatory,18662.0,20955,6.0,6.0,DRIVEALONEFREE,0
60,180,17101375,school,mandatory,24504.0,20955,6.0,6.0,SHARED3FREE,0
61,181,17101375,othmaint,non_mandatory,8741.0,20955,6.0,6.0,SHARED3FREE,0
62,181,17101375,othmaint,non_mandatory,8741.0,20955,13.0,13.0,SHARED3FREE,0
65,214,17101626,escort,non_mandatory,21009.0,29642,8.0,8.0,SHARED2FREE,0
66,214,17101626,social,non_mandatory,965.0,29642,15.0,15.0,SHARED2FREE,0
67,215,17101626,work,mandatory,21009.0,29642,8.0,8.0,SHARED2FREE,0
68,258,17101886,work,mandatory,16322.0,18086,6.0,6.0,DRIVEALONEFREE,0
69,258,17101886,shopping,non_mandatory,19112.0,28850,18.0,18.0,WALK,0
70,270,17101947,work,mandatory,26837.0,34184,6.0,6.0,DRIVEALONEFREE,0
71,270,17101947,othmaint,non_mandatory,4251.0,34184,18.0,18.0,DRIVEALONEFREE,0
72,272,17101949,work,mandatory,9131.0,28834,6.0,6.0,DRIVEALONEFREE,0
73,272,17101949,eatout,non_mandatory,5245.0,28834,17.0,17.0,SHARED2FREE,0
76,309,17102398,work,mandatory,12427.0,601,9.0,9.0,WALK_LR,0
77,310,17102408,work,mandatory,4406.0,13091,7.0,7.0,SHARED2FREE,0
78,310,17102408,eatout,non_mandatory,26706.0,22933,19.0,19.0,SHARED2FREE,0
79,311,17102408,work,mandatory,4621.0,22933,7.0,7.0,SHARED2FREE,0
