trip_id,person_id,household_id,tour_id,outbound,purpose,destination,origin,depart,trip_mode
9.0,7,17100059,1.0,True,work,14261,2902,8.0,Other
13.0,7,17100059,1.0,False,Home,2901,14261,17.0,Other
25.0,38,17100248,3.0,True,work,9807,13169,7.0,BIKE
29.0,38,17100248,3.0,False,Home,13169,9807,17.0,BIKE
33.0,38,17100248,4.0,True,social,2904,13169,17.0,WALK
34.0,38,17100248,4.0,True,social,21464,2904,18.0,WALK
37.0,38,17100248,4.0,False,eatout,13174,21464,19.0,WALK
38.0,38,17100248,4.0,False,Home,13169,13174,21.0,WALK
41.0,43,17100303,5.0,True,work,4101,1469,7.0,DRIVEALONEFREE
45.0,43,17100303,5.0,False,othmaint,17022,4101,16.0,DRIVEALONEFREE
46.0,43,17100303,5.0,False,Home,1469,17022,16.0,DRIVEALONEFREE
49.0,43,17100303,6.0,True,shopping,22178,1469,17.0,DRIVEALONEFREE
50.0,43,17100303,6.0,True,escort,24554,22178,17.0,DRIVEALONEFREE
51.0,43,17100303,6.0,True,shopping,66099,24554,18.0,SHARED2FREE
53.0,43,17100303,6.0,False,Home,1469,66099,19.0,SHARED2FREE
57.0,43,17100303,7.0,True,shopping,9505,1469,20.0,SHARED2FREE
61.0,43,17100303,7.0,False,Home,1469,9505,20.0,SHARED2FREE
65.0,44,17100303,8.0,True,work,24554,3874,9.0,WALK_LOC
66.0,44,17100303,8.0,True,work,29172,24554,13.0,WALK
69.0,44,17100303,8.0,False,shopping,66099,29172,18.0,SHARED2FREE
70.0,44,17100303,8.0,False,Home,1469,66099,19.0,SHARED2FREE
81.0,47,17100342,10.0,True,work,21615,21436,7.0,WALK_LOC
85.0,47,17100342,10.0,False,social,19853,21615,16.0,DRIVEALONEFREE
86.0,47,17100342,10.0,False,Home,7698,19853,19.0,DRIVEALONEFREE
97.0,48,17100342,12.0,True,work,8426,21436,10.0,DRIVEALONEFREE
98.0,48,17100342,12.0,True,work,3387,8426,10.0,DRIVEALONEFREE
101.0,48,17100342,12.0,False,work,28362,3387,20.0,SHARED3FREE
102.0,48,17100342,12.0,False,work,17001,28362,21.0,SHARED3FREE
103.0,48,17100342,12.0,False,Home,21436,17001,21.0,TNC
113.0,51,17100410,14.0,True,work,33097,746,9.0,WALK_LOC
117.0,51,17100410,14.0,False,eatout,13168,30988,18.0,WALK
118.0,51,17100410,14.0,False,Home,746,13168,19.0,TNC
121.0,69,17100501,15.0,True,work,18218,28618,7.0,WALK_LOC
125.0,69,17100501,15.0,False,Home,22442,35592,17.0,WALK_LOC
129.0,74,17100652,16.0,True,work,34223,5804,9.0,DRIVEALONEFREE
133.0,74,17100652,16.0,False,Home,5804,34223,13.0,DRIVEALONEFREE
137.0,74,17100652,17.0,True,work,34223,5804,13.0,DRIVEALONEFREE
141.0,74,17100652,17.0,False,Home,5804,34223,19.0,DRIVEALONEFREE
145.0,74,17100652,18.0,True,social,16098,5804,19.0,SHARED2FREE
149.0,74,17100652,18.0,False,work,34223,11191,21.0,SHARED2FREE
150.0,74,17100652,18.0,False,Home,35782,34223,21.0,SHARED2FREE
153.0,75,17100652,19.0,True,social,35782,5804,15.0,WALK
157.0,75,17100652,19.0,False,Home,5804,35782,15.0,WALK
169.0,77,17100654,21.0,True,shopping,2817,18260,11.0,DRIVEALONEFREE
173.0,77,17100654,21.0,False,shopping,16879,2817,12.0,DRIVEALONEFREE
174.0,77,17100654,21.0,False,shopping,4499,16879,13.0,DRIVEALONEFREE
175.0,77,17100654,21.0,False,Home,18260,4499,14.0,DRIVEALONEFREE
177.0,77,17100654,22.0,True,escort,2090,18260,16.0,DRIVEALONEFREE
181.0,77,17100654,22.0,False,Home,18260,2090,17.0,SHARED2FREE
201.0,83,17100675,25.0,True,social,21426,63106,11.0,DRIVEALONEFREE
202.0,83,17100675,25.0,True,social,14892,21426,11.0,SHARED2FREE
205.0,83,17100675,25.0,False,social,58156,14892,16.0,SHARED2FREE
206.0,83,17100675,25.0,False,social,59901,58156,17.0,DRIVEALONEFREE
207.0,83,17100675,25.0,False,Home,63106,59901,18.0,DRIVEALONEFREE
209.0,105,17100818,26.0,True,work,15372,4369,8.0,DRIVEALONEFREE
213.0,105,17100818,26.0,False,othmaint,21872,15372,20.0,DRIVEALONEFREE
214.0,105,17100818,26.0,False,Home,4369,21872,20.0,DRIVEALONEFREE
225.0,108,17100834,28.0,True,school,15990,19537,8.0,WALK
229.0,108,17100834,28.0,False,Home,19537,15990,17.0,TNC
233.0,109,17100834,29.0,True,school,5149,19537,7.0,TNC
234.0,109,17100834,29.0,True,social,13673,5149,10.0,WALK
237.0,109,17100834,29.0,False,school,5149,2902,15.0,WALK
238.0,109,17100834,29.0,False,othmaint,33329,5149,17.0,WALK
239.0,109,17100834,29.0,False,Home,19537,33329,17.0,TNC
241.0,116,17100868,30.0,True,work,24463,3189,7.0,WALK_LOC
245.0,116,17100868,30.0,False,Home,3189,24463,17.0,WALK_LOC
249.0,130,17100942,31.0,True,work,32318,21671,8.0,WALK_LOC
253.0,130,17100942,31.0,False,othmaint,34636,32318,17.0,WALK
254.0,130,17100942,31.0,False,eatout,21013,34636,18.0,WALK
255.0,130,17100942,31.0,False,Home,21671,21013,19.0,WALK_LOC
257.0,130,17100942,32.0,True,social,18349,21671,21.0,TNC
261.0,130,17100942,32.0,False,Home,21671,18349,23.0,TNC
265.0,135,17100964,33.0,True,work,17675,35782,8.0,SHARED2FREE
266.0,135,17100964,33.0,True,work,9683,17675,8.0,SHARED2FREE
269.0,135,17100964,33.0,False,Home,35782,9683,17.0,SHARED2FREE
273.0,135,17100964,34.0,True,othmaint,17675,35782,18.0,WALK
277.0,135,17100964,34.0,False,Home,35782,17675,18.0,WALK
281.0,136,17100964,35.0,True,work,3532,35782,6.0,WALK_LOC
285.0,136,17100964,35.0,False,Home,35782,3532,15.0,WALK_LOC
297.0,141,17100986,37.0,True,shopping,13451,21088,17.0,DRIVEALONEFREE
298.0,141,17100986,37.0,True,shopping,33509,13451,17.0,DRIVEALONEFREE
301.0,141,17100986,37.0,False,Home,21088,33509,17.0,DRIVEALONEFREE
305.0,146,17101042,38.0,True,social,32046,3193,14.0,WALK
309.0,146,17101042,38.0,False,Home,3193,32046,15.0,WALK_LOC
313.0,149,17101086,39.0,True,escort,4158,34349,8.0,WALK_LOC
314.0,149,17101086,39.0,True,work,21189,4158,9.0,WALK
317.0,149,17101086,39.0,False,escort,4160,21189,17.0,WALK
318.0,149,17101086,39.0,False,Home,34349,4159,17.0,WALK_LOC
321.0,150,17101086,40.0,True,work,14424,34349,7.0,DRIVEALONEFREE
325.0,150,17101086,40.0,False,Home,34349,14424,17.0,DRIVEALONEFREE
337.0,151,17101086,42.0,True,school,4158,34349,8.0,WALK_LOC
341.0,151,17101086,42.0,False,Home,34349,4159,17.0,WALK_LOC
345.0,154,17101130,43.0,True,eatout,21467,31711,8.0,DRIVEALONEFREE
349.0,154,17101130,43.0,False,Home,31710,21467,10.0,DRIVEALONEFREE
353.0,154,17101130,44.0,True,eatout,12097,31710,12.0,WALK
357.0,154,17101130,44.0,False,Home,31711,12097,13.0,WALK
361.0,154,17101130,45.0,True,social,14391,31711,16.0,WALK
365.0,154,17101130,45.0,False,Home,31711,14391,17.0,WALK
369.0,159,17101223,46.0,True,work,29987,9778,5.0,DRIVEALONEFREE
373.0,159,17101223,46.0,False,escort,12386,29987,14.0,DRIVEALONEFREE
374.0,159,17101223,46.0,False,Home,9778,12386,15.0,SHARED3FREE
377.0,159,17101223,47.0,True,escort,17225,9778,17.0,SHARED2FREE
381.0,159,17101223,47.0,False,Home,9778,17225,17.0,DRIVEALONEFREE
385.0,159,17101223,48.0,True,escort,17225,9778,18.0,DRIVEALONEFREE
389.0,159,17101223,48.0,False,Home,9778,17225,18.0,SHARED2FREE
393.0,160,17101223,49.0,True,escort,844,9778,7.0,SHARED2FREE
397.0,160,17101223,49.0,False,Home,9778,844,7.0,DRIVEALONEFREE
401.0,160,17101223,50.0,True,escort,431,9778,8.0,SHARED3FREE
402.0,160,17101223,50.0,True,othmaint,32761,431,8.0,DRIVEALONEFREE
403.0,160,17101223,50.0,True,work,12926,32761,8.0,DRIVEALONEFREE
405.0,160,17101223,50.0,False,work,7622,12926,20.0,WALK
406.0,160,17101223,50.0,False,Home,9778,7622,20.0,DRIVEALONEFREE
409.0,161,17101223,51.0,True,school,7726,9778,7.0,DRIVEALONEFREE
413.0,161,17101223,51.0,False,eatout,16191,7726,11.0,WALK
414.0,161,17101223,51.0,False,Home,9778,16191,12.0,WALK_LOC
417.0,162,17101223,52.0,True,school,432,9778,8.0,SHARED3FREE
421.0,162,17101223,52.0,False,Home,9778,12386,15.0,SHARED3FREE
425.0,162,17101223,53.0,True,social,17225,9778,17.0,SHARED2FREE
429.0,162,17101223,53.0,False,Home,9778,17225,18.0,SHARED2FREE
433.0,163,17101223,54.0,True,school,12386,9778,8.0,SHARED3FREE
437.0,163,17101223,54.0,False,Home,9778,12386,15.0,SHARED3FREE
441.0,169,17101263,55.0,True,work,12152,10056,12.0,WALK
445.0,169,17101263,55.0,False,Home,9526,12152,17.0,WALK
449.0,169,17101263,56.0,True,work,12152,9526,17.0,WALK
453.0,169,17101263,56.0,False,Home,9526,12152,22.0,WALK
457.0,173,17101325,57.0,True,shopping,1057,12055,14.0,SHARED2FREE
458.0,173,17101325,57.0,True,social,9652,1057,14.0,SHARED2FREE
461.0,173,17101325,57.0,False,shopping,4499,9652,18.0,SHARED2FREE
462.0,173,17101325,57.0,False,social,34959,4499,18.0,SHARED2FREE
463.0,173,17101325,57.0,False,Home,12055,34959,18.0,SHARED2FREE
465.0,174,17101325,58.0,True,shopping,1057,12055,14.0,SHARED2FREE
466.0,174,17101325,58.0,True,social,9652,1057,15.0,SHARED2FREE
469.0,174,17101325,58.0,False,othmaint,4499,9652,18.0,SHARED2FREE
470.0,174,17101325,58.0,False,social,34959,4499,19.0,SHARED2FREE
471.0,174,17101325,58.0,False,Home,12055,34959,19.0,SHARED2FREE
473.0,179,17101375,59.0,True,work,18662,20955,6.0,DRIVEALONEFREE
477.0,179,17101375,59.0,False,Home,28309,18662,18.0,DRIVEALONEFREE
481.0,180,17101375,60.0,True,othmaint,8741,20955,6.0,SHARED3FREE
482.0,180,17101375,60.0,True,school,19508,8741,7.0,SHARED3FREE
483.0,180,17101375,60.0,True,othmaint,404,19508,9.0,School_Bus
484.0,180,17101375,60.0,True,school,24504,404,13.0,School_Bus
485.0,180,17101375,60.0,False,Home,20955,24503,17.0,SHARED3FREE
489.0,181,17101375,61.0,True,othmaint,8741,20955,6.0,SHARED3FREE
493.0,181,17101375,61.0,False,escort,19508,8741,7.0,SHARED3FREE
494.0,181,17101375,61.0,False,Home,20955,19508,7.0,SHARED3FREE
497.0,181,17101375,62.0,True,othmaint,8741,20955,13.0,SHARED3FREE
501.0,181,17101375,62.0,False,escort,24503,8741,17.0,SHARED2FREE
502.0,181,17101375,62.0,False,Home,20955,24503,17.0,SHARED3FREE
521.0,214,17101626,65.0,True,escort,21009,29642,8.0,SHARED2FREE
525.0,214,17101626,65.0,False,Home,29642,21009,9.0,DRIVEALONEFREE
529.0,214,17101626,66.0,True,social,11613,29642,15.0,SHARED2FREE
530.0,214,17101626,66.0,True,social,965,11613,15.0,SHARED2FREE
533.0,214,17101626,66.0,False,Home,29642,965,16.0,SHARED2FREE
537.0,215,17101626,67.0,True,work,21009,29642,8.0,SHARED2FREE
541.0,215,17101626,67.0,False,social,965,21009,15.0,SHARED2FREE
542.0,215,17101626,67.0,False,Home,29642,965,16.0,SHARED2FREE
545.0,258,17101886,68.0,True,work,16322,18086,6.0,DRIVEALONEFREE
549.0,258,17101886,68.0,False,othmaint,30323,16322,17.0,DRIVEALONEFREE
550.0,258,17101886,68.0,False,Home,28850,30323,17.0,DRIVEALONEFREE
553.0,258,17101886,69.0,True,shopping,19112,28850,18.0,WALK
557.0,258,17101886,69.0,False,Home,28850,19112,18.0,WALK
561.0,270,17101947,70.0,True,work,2148,34184,6.0,DRIVEALONEFREE
562.0,270,17101947,70.0,True,eatout,8128,2148,10.0,DRIVEALONEFREE
563.0,270,17101947,70.0,True,work,26837,8128,10.0,DRIVEALONEFREE
565.0,270,17101947,70.0,False,Home,34184,26837,15.0,DRIVEALONEFREE
569.0,270,17101947,71.0,True,othmaint,5280,34184,18.0,DRIVEALONEFREE
570.0,270,17101947,71.0,True,othmaint,4251,5280,18.0,DRIVEALONEFREE
573.0,270,17101947,71.0,False,Home,34184,4251,19.0,DRIVEALONEFREE
