tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
326,10,7,17100059,work,mandatory,14261.0,2902,8.0,8.0,WALK,0,,,54,no_subtours,0out_0in
1597,30,38,17100248,work,mandatory,9807.0,13169,7.0,7.0,BIKE,0,,,37,no_subtours,0out_0in
1802,50,43,17100303,work,mandatory,4101.0,1469,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_1in
1843,80,44,17100303,work,mandatory,29172.0,3874,9.0,9.0,WALK_LOC,0,,,70,no_subtours,1out_1in
1966,100,47,17100342,work,mandatory,21615.0,21436,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_1in
2007,120,48,17100342,work,mandatory,3387.0,21436,10.0,10.0,SHARED3FREE,0,,,85,no_subtours,1out_2in
2130,140,51,17100410,work,mandatory,33097.0,746,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_1in
2868,150,69,17100501,work,mandatory,18218.0,28618,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
3073,160,74,17100652,work,mandatory,34223.0,5804,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
3074,170,74,17100652,work,mandatory,34223.0,5804,13.0,13.0,DRIVEALONEFREE,0,,,124,no_subtours,0out_0in
4344,260,105,17100818,work,mandatory,15372.0,4369,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_1in
4459,280,108,17100834,school,mandatory,15990.0,19537,8.0,8.0,WALK,0,,,54,,0out_0in
4795,300,116,17100868,work,mandatory,24463.0,3189,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
5369,310,130,17100942,work,mandatory,32318.0,21671,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_2in
5574,330,135,17100964,work,mandatory,9683.0,35782,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_0in
5615,350,136,17100964,work,mandatory,3532.0,35782,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
6148,390,149,17101086,work,mandatory,21189.0,34349,8.0,8.0,WALK_LOC,0,,,54,no_subtours,1out_1in
6189,400,150,17101086,work,mandatory,14424.0,34349,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
6222,420,151,17101086,school,mandatory,4158.0,34349,8.0,8.0,WALK_LOC,0,,,54,,0out_0in
6558,460,159,17101223,work,mandatory,29987.0,9778,5.0,5.0,SHARED3FREE,0,,,0,no_subtours,0out_1in
