,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,destination,tdpcl,tdadtyp,tripsh1,tripsh2,tlvdest,tardest,tour_id,subtrs,parent_tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
62,583,21893,42441.0,Home,1240,17101619,1710161901,3,work,13556.0,815530.0,Work,1,5,1041,621,63,1,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,63.0,1,0,4,0out_4in
73,349,19389,57209.0,Home,1343,17102227,1710222701,3,work,13681.0,1106863.0,Work,1,8,349,1343,74,0,0,WALK_LR,,mandatory,5.0,5.0,mandatory,1,39,work1,1,74.0,1,0,7,0out_7in
96,488,12055,690533.0,Home,1078,17102819,1710281902,3,work,7004.0,1184230.0,other,2,5,500,1078,97,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,97.0,2,1,4,1out_4in
254,440,25858,764186.0,Home,991,17109547,1710954703,3,work,22170.0,964353.0,other,3,6,609,991,255,0,0,WALK_LR,,mandatory,7.0,7.0,mandatory,1,39,work1,3,255.0,3,2,5,2out_5in
255,400,9362,1150495.0,Home,1037,17109601,1710960101,3,work,9533.0,785644.0,other,1,5,400,1037,256,0,0,WALK_LR,,mandatory,6.0,6.0,mandatory,1,39,work1,1,256.0,1,0,4,0out_4in
264,752,12055,690533.0,Home,1261,17109657,1710965702,3,work,10154.0,1040193.0,other,1,13,752,1261,265,0,0,SHARED2FREE,,mandatory,12.0,12.0,mandatory,1,39,work1,2,265.0,2,0,12,0out_12in
294,882,3391,1174232.0,Home,1414,17111033,1711103301,3,work,28764.0,997993.0,Work,1,5,882,1414,295,0,0,SHARED2FREE,,mandatory,14.0,14.0,mandatory,1,39,work1,1,295.0,1,0,4,0out_4in
299,444,15682,645833.0,Home,1161,17111489,1711148901,3,work,10061.0,739926.0,other,1,6,444,1161,300,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,300.0,1,0,5,0out_5in
318,405,35852,403335.0,Home,1106,17112091,1711209101,3,work,36658.0,554048.0,other,1,6,405,1106,319,0,0,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,319.0,1,0,5,0out_5in
332,559,7720,1136543.0,Home,1104,17112650,1711265002,3,work,20797.0,671556.0,other,5,1,818,1104,335,0,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,2,333.0,2,4,0,4out_0in
347,426,21893,96346.0,Home,1065,17113544,1711354401,3,work,34649.0,1051988.0,other,5,1,740,1065,350,0,0,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,1,348.0,1,4,0,4out_0in
353,488,26136,984544.0,Home,1052,17113968,1711396801,3,work,14668.0,862624.0,Work,2,5,503,1052,356,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,354.0,1,1,4,1out_4in
426,530,20543,1185399.0,Home,1088,17115594,1711559403,3,school,4385.0,28363.0,School,1,5,530,1088,429,0,0,SHARED3FREE,,mandatory,8.0,8.0,mandatory,1,31,school1,3,427.0,3,0,4,0out_4in
427,560,7689,897646.0,Home,952,17115686,1711568601,3,school,21435.0,943612.0,other,7,3,777,952,430,0,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,31,school1,1,428.0,1,6,2,6out_2in
488,966,58888,80364.0,Home,1268,17118670,1711867002,3,eatout,25319.0,728867.0,other,1,5,966,1268,491,0,0,SHARED3FREE,,non_mandatory,16.0,16.0,non_mandatory,1,6,eatout1,2,489.0,2,0,4,0out_4in
505,399,33286,778636.0,Home,1069,17119235,1711923502,3,work,51263.0,221907.0,other,1,7,399,1069,508,0,0,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,2,506.0,2,0,6,0out_6in
506,444,13571,654149.0,Home,1070,17119306,1711930601,3,social,23460.0,1210822.0,other,4,6,604,1070,509,0,0,BIKE,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,1,507.0,1,3,5,3out_5in
578,489,28021,1082459.0,Home,1189,17122862,1712286201,3,othmaint,4162.0,664017.0,other,1,5,489,1189,581,0,0,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,28,othmaint1,1,579.0,1,0,4,0out_4in
616,506,49097,452562.0,Work,903,17124316,1712431602,3,work,55236.0,895569.0,other,2,5,562,613,619,0,618,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,2,40,work2,2,617.0,2,1,4,1out_4in
617,245,14745,1029372.0,Home,590,17124342,1712434201,3,work,24280.0,723813.0,other,5,8,350,590,620,0,0,SHARED3FREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,618.0,1,4,7,4out_7in
621,381,27345,615570.0,Home,1099,17124411,1712441101,3,work,16879.0,850750.0,other,1,25,381,1099,624,0,0,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,622.0,1,0,24,0out_24in
697,407,49467,398742.0,Home,736,17127625,1712762501,3,work,53660.0,503104.0,other,6,5,611,736,700,0,0,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,698.0,1,5,4,5out_4in
698,483,49467,398742.0,Home,735,17127625,1712762502,3,work,53520.0,180378.0,other,1,5,483,735,702,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,699.0,2,0,4,0out_4in
711,480,34872,1140615.0,Home,1165,17128170,1712817001,3,work,1860.0,965306.0,other,2,6,485,1165,714,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,712.0,1,1,5,1out_5in
764,362,25480,1025520.0,Home,1238,17129575,1712957503,3,work,7420.0,844796.0,other,6,19,557,1238,767,0,0,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,3,765.0,3,5,18,5out_18in
777,506,28239,1203985.0,Home,1179,17129846,1712984601,3,work,7118.0,915423.0,Work,1,5,506,1179,780,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,778.0,1,0,4,0out_4in
860,628,7971,146104.0,Home,954,17132467,1713246701,3,social,24244.0,1106550.0,other,1,6,628,954,864,0,0,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,861.0,1,0,5,0out_5in
869,541,21811,153464.0,Home,994,17132728,1713272801,3,social,28340.0,980595.0,other,1,9,541,994,873,0,0,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,1,870.0,1,0,8,0out_8in
872,654,27224,891998.0,Home,1292,17132731,1713273102,3,work,1849.0,611115.0,other,5,1,780,1292,876,0,0,WALK_LOC,,mandatory,10.0,10.0,mandatory,1,39,work1,2,873.0,2,4,0,4out_0in
873,435,27159,870095.0,Home,1125,17132838,1713283801,3,work,11084.0,754779.0,Work,5,4,988,491,877,1,0,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,874.0,1,4,3,4out_3in
890,640,34952,1091142.0,Home,1097,17132924,1713292401,3,social,35507.0,133830.0,other,6,1,905,1097,894,0,0,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,891.0,1,5,0,5out_0in
897,573,32534,866732.0,Home,1094,17133022,1713302201,3,work,7995.0,1069283.0,other,5,1,915,1094,901,0,0,WALK_LOC,,mandatory,9.0,9.0,mandatory,1,39,work1,1,898.0,1,4,0,4out_0in
930,578,11085,894006.0,Home,1223,17134840,1713484001,3,social,33058.0,762917.0,other,10,1,871,1223,934,0,0,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,1,931.0,1,9,0,9out_0in
1074,426,40837,412653.0,Home,1047,17139906,1713990601,3,work,45653.0,346537.0,Work,2,6,434,1047,1078,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1075.0,1,1,5,1out_5in
1120,532,30750,749474.0,Home,1162,17142512,1714251202,3,work,32543.0,145297.0,Work,1,6,532,1162,1125,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,1121.0,2,0,5,0out_5in
1142,668,33324,1153244.0,Home,1054,17143386,1714338601,3,work,34467.0,698680.0,other,1,5,668,1054,1146,0,0,WALK_LR,,mandatory,11.0,11.0,mandatory,1,39,work1,1,1143.0,1,0,4,0out_4in
1188,451,460,699617.0,Home,1317,17145730,1714573001,3,work,9130.0,1046204.0,Work,1,6,451,1317,1192,0,0,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1189.0,1,0,5,0out_5in
1195,473,24566,921491.0,Home,1116,17145806,1714580601,3,work,3367.0,1111163.0,Work,1,6,473,1116,1199,0,0,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1196.0,1,0,5,0out_5in
1206,610,42335,326185.0,Home,1345,17146110,1714611002,3,work,52496.0,452065.0,Work,6,2,719,1345,1211,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,2,1207.0,2,5,1,5out_1in
1229,504,14656,599756.0,Home,1422,17146850,1714685001,3,social,28788.0,40171.0,other,2,5,754,1422,1233,0,0,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,1,1230.0,1,1,4,1out_4in
1241,511,10824,584108.0,Home,1194,17147112,1714711201,3,work,21190.0,935063.0,other,1,5,511,1194,1245,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,1242.0,1,0,4,0out_4in
1248,700,32951,789560.0,Home,1098,17147265,1714726501,3,othmaint,23911.0,156022.0,other,6,1,944,1098,1252,0,0,DRIVEALONEFREE,,non_mandatory,11.0,11.0,non_mandatory,1,28,othmaint1,1,1249.0,1,5,0,5out_0in
1259,908,21306,1167825.0,Home,1290,17148237,1714823701,3,othmaint,26654.0,946707.0,other,5,2,1146,1290,1263,0,0,WALK_LOC,,non_mandatory,15.0,15.0,non_mandatory,1,28,othmaint1,1,1260.0,1,4,1,4out_1in
1262,419,39279,554605.0,Home,1284,17148682,1714868201,3,social,37923.0,305589.0,other,11,2,1022,1284,1266,0,0,SHARED3FREE,,non_mandatory,6.0,6.0,non_mandatory,1,36,social1,1,1263.0,1,10,1,10out_1in
1263,419,39279,233826.0,Home,1283,17148682,1714868202,3,social,35871.0,476045.0,other,4,6,651,1283,1267,0,0,SHARED3FREE,,non_mandatory,6.0,6.0,non_mandatory,1,36,social1,2,1264.0,2,3,5,3out_5in
1289,536,33321,145789.0,Home,1388,17149451,1714945101,3,eatout,4358.0,1106688.0,other,6,1,1138,1388,1293,0,0,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,6,eatout1,1,1290.0,1,5,0,5out_0in
1300,513,3894,29488.0,Home,1004,17149650,1714965002,3,work,10547.0,39024.0,other,9,1,741,1004,1304,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,1301.0,2,8,0,8out_0in
1355,667,14449,1191455.0,Home,957,17152111,1715211102,3,eatout,15947.0,83604.0,other,1,5,667,957,1359,0,0,WALK,,non_mandatory,11.0,11.0,non_mandatory,1,6,eatout1,2,1356.0,2,0,4,0out_4in
1382,470,33301,809723.0,Home,1107,17153211,1715321101,3,work,15956.0,607591.0,other,10,5,777,1107,1386,0,0,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1383.0,1,9,4,9out_4in
1383,633,33301,809723.0,Home,1161,17153211,1715321102,3,social,27159.0,831881.0,other,5,1,957,1161,1387,0,0,SHARED3FREE,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,2,1384.0,2,4,0,4out_0in
