trip_id,person_id,household_id,tour_id,outbound,purpose,destination,origin,depart,trip_mode
17.0,2,17100108_2,2.0,True,work,34769,30000,9.0,Other
21.0,2,17100108_2,2.0,False,Home,30000,34769,16.0,Other
25.0,3,17100108_2,3.0,True,work,21009,30000,9.0,WALK
29.0,3,17100108_2,3.0,False,Home,30000,21009,19.0,WALK
49.0,8,17100203_2,6.0,True,work,18493,3305,8.0,DRIVEALONEFREE
53.0,8,17100203_2,6.0,False,Home,3305,18493,20.0,DRIVEALONEFREE
57.0,9,17100203_2,7.0,True,school,2090,3305,9.0,SHARED3FREE
61.0,9,17100203_2,7.0,False,Home,3305,2090,15.0,SHARED3FREE
129.0,14,17100303_2,16.0,True,othdiscr,23773,1469,18.0,SHARED2FREE
133.0,14,17100303_2,16.0,False,Home,1469,23773,18.0,SHARED2FREE
137.0,16,17100342_2,17.0,True,work,21615,21436,7.0,WALK_LOC
141.0,16,17100342_2,17.0,False,Home,21436,21615,17.0,WALK_LOC
145.0,16,17100342_2,18.0,True,othdiscr,19853,21436,19.0,SHARED2FREE
149.0,16,17100342_2,18.0,False,Home,21436,19853,22.0,SHARED2FREE
153.0,17,17100342_2,19.0,True,work,21821,21436,10.0,DRIVEALONEFREE
154.0,17,17100342_2,19.0,True,shopping,27205,21821,10.0,WALK
157.0,17,17100342_2,19.0,False,Home,21436,27205,17.0,DRIVEALONEFREE
169.0,18,17100410_2,21.0,True,work,33878,746,9.0,WALK_LOC
173.0,18,17100410_2,21.0,False,shopping,19112,33878,17.0,WALK_LOC
174.0,18,17100410_2,21.0,False,Home,746,19112,18.0,WALK
185.0,20,17100458_2,23.0,True,work,9679,3759,10.0,DRIVEALONEFREE
186.0,20,17100458_2,23.0,True,escort,34504,9679,12.0,SHARED2FREE
187.0,20,17100458_2,23.0,True,eatout,9935,34504,12.0,DRIVEALONEFREE
189.0,20,17100458_2,23.0,False,Home,3759,9935,15.0,DRIVEALONEFREE
193.0,20,17100458_2,24.0,True,escort,21385,3759,16.0,DRIVEALONEFREE
194.0,20,17100458_2,24.0,True,othdiscr,31016,21385,16.0,SHARED2FREE
197.0,20,17100458_2,24.0,False,eatout,32076,31016,19.0,SHARED2FREE
198.0,20,17100458_2,24.0,False,escort,21385,32076,20.0,SHARED2FREE
199.0,20,17100458_2,24.0,False,Home,3759,21385,20.0,DRIVEALONEFREE
201.0,21,17100482_2,25.0,True,work,18358,29643,8.0,DRIVEALONEFREE
205.0,21,17100482_2,25.0,False,shopping,33509,18358,17.0,DRIVEALONEFREE
206.0,21,17100482_2,25.0,False,Home,29643,33509,17.0,DRIVEALONEFREE
225.0,23,17100590_2,28.0,True,work,21009,14948,7.0,DRIVEALONEFREE
229.0,23,17100590_2,28.0,False,Home,14948,21009,11.0,DRIVEALONEFREE
249.0,24,17100652_2,31.0,True,eatout,1759,5804,17.0,SHARED3FREE
250.0,24,17100652_2,31.0,True,shopping,1057,1759,18.0,SHARED3FREE
253.0,24,17100652_2,31.0,False,shopping,2808,1057,20.0,SHARED3FREE
254.0,24,17100652_2,31.0,False,shopping,1633,2808,20.0,SHARED3FREE
255.0,24,17100652_2,31.0,False,Home,5804,1633,20.0,SHARED3FREE
305.0,28,17100760_2,38.0,True,escort,5582,29932,8.0,SHARED2FREE
306.0,28,17100760_2,38.0,True,eatout,25925,5582,8.0,DRIVEALONEFREE
309.0,28,17100760_2,38.0,False,social,32346,25925,10.0,DRIVEALONEFREE
310.0,28,17100760_2,38.0,False,shopping,5173,32346,12.0,DRIVEALONEFREE
311.0,28,17100760_2,38.0,False,Home,29932,5173,12.0,DRIVEALONEFREE
313.0,28,17100760_2,39.0,True,escort,5582,29932,15.0,SHARED3FREE
314.0,28,17100760_2,39.0,True,shopping,16146,5582,15.0,SHARED2FREE
317.0,28,17100760_2,39.0,False,Home,29932,16146,16.0,SHARED2FREE
321.0,29,17100760_2,40.0,True,shopping,13894,29932,11.0,DRIVEALONEFREE
