household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
1,23432,225000,4,1,1,2
2,31547,62500,2,1,1,2
3,28830,30000,1,1,0,1
4,3871,30000,1,1,1,1
5,21307,125000,2,1,1,2
6,8493,125000,2,1,1,2
7,61313,42500,1,1,2,1
8,30481,30000,1,1,0,1
9,33091,225000,2,1,0,2
10,33091,-1,2,1,0,2
11,4866,30000,1,1,1,1
12,15980,125000,1,1,1,0
13,30927,250000,4,1,1,2
14,22648,225000,4,1,2,2
15,7392,87500,1,1,1,1
16,5087,-1,2,1,1,2
17,22426,175000,2,1,2,2
18,27201,62500,3,1,0,1
19,15943,42500,2,1,1,2
20,15943,62500,2,1,2,1
21,15943,125000,1,1,2,1
22,27154,-1,1,1,1,1
23,33401,125000,1,1,1,1
24,62840,-1,2,1,4,2
25,19444,-1,2,1,2,1
26,34077,87500,2,1,1,2
27,35745,125000,3,1,1,1
28,21931,5000,1,1,0,0
29,33301,42500,1,1,1,1
30,15440,87500,1,1,1,1
31,29311,250000,3,1,1,2
32,15985,125000,2,1,0,1
33,18337,125000,1,1,1,1
34,17546,125000,2,1,1,2
35,27486,87500,2,1,1,2
36,30329,-1,1,1,2,1
38,29144,62500,3,1,0,1
39,33604,62500,2,1,1,1
40,15437,225000,3,1,1,2
41,15456,-1,3,1,1,3
42,25634,62500,1,1,1,1
43,9414,62500,1,1,1,0
44,57894,250000,4,1,2,2
45,28983,42500,1,1,1,1
46,24453,125000,1,1,1,1
47,33218,87500,2,1,2,1
48,15975,87500,2,1,0,2
49,22080,125000,4,1,2,1
50,20407,62500,2,1,4,1
51,29680,87500,1,1,1,1
52,9778,250000,5,1,4,2
53,25272,17500,2,1,2,1
54,5849,87500,1,1,1,1
55,5849,125000,1,1,1,1
56,5849,125000,1,1,1,1
57,3892,125000,2,1,1,2
58,25925,225000,2,1,2,1
59,25925,30000,2,1,0,2
60,63554,-1,5,1,8,4
61,24496,17500,1,1,0,0
62,24496,17500,1,1,0,0
63,29541,-1,3,1,2,2
64,29541,87500,3,1,1,1
65,29541,125000,2,1,1,2
66,28362,250000,3,1,1,2
67,11618,17500,1,1,0,1
68,11618,62500,2,1,0,2
69,12377,30000,1,1,1,0
70,57442,-1,1,1,1,0
71,15908,125000,4,1,2,2
72,11616,5000,2,1,0,0
73,4863,42500,1,1,1,1
74,3894,62500,1,1,0,1
75,6153,125000,2,1,2,2
76,6153,125000,2,1,0,1
77,6153,125000,1,1,0,1
78,6153,42500,2,1,0,1
79,3894,62500,1,1,0,1
80,6153,5000,2,1,1,2
81,6153,125000,2,1,0,2
82,3894,62500,1,1,1,0
83,6153,87500,2,1,0,2
84,62294,125000,2,1,3,2
85,19136,125000,3,1,1,2
86,6507,125000,2,1,2,0
87,19157,125000,2,1,1,2
88,19157,175000,2,1,2,2
89,19157,-1,1,1,1,1
90,19157,125000,2,1,1,1
91,19157,62500,2,1,2,2
93,20615,62500,1,1,0,1
94,12855,62500,4,1,4,2
95,21457,87500,1,1,1,0
96,20044,175000,2,1,1,2
97,28850,175000,1,1,1,1
98,28850,225000,3,1,1,3
99,6906,250000,4,1,1,1
100,2907,175000,2,1,2,2
101,7699,62500,2,1,2,2
102,55431,17500,4,1,0,0
103,16511,125000,2,1,3,1
104,12566,125000,2,1,2,2
105,18807,17500,1,1,1,0
106,20942,250000,1,1,1,0
107,10961,30000,1,1,1,1
108,16176,175000,5,1,2,2
109,13170,125000,1,1,1,1
110,2594,87500,4,1,2,1
111,33320,175000,2,1,3,2
112,23695,17500,4,1,0,0
113,15683,62500,1,1,1,1
114,9407,42500,1,1,1,1
115,23975,42500,2,1,1,2
116,27644,87500,1,1,1,1
117,16194,125000,2,1,2,2
118,12384,87500,2,1,2,2
119,5352,62500,2,1,0,2
120,24321,250000,3,1,2,2
121,20544,42500,2,1,0,2
122,21893,175000,1,1,1,1
123,5804,87500,1,1,1,1
124,5804,62500,1,1,1,1
125,7973,30000,1,1,1,1
126,20665,17500,2,1,0,1
127,13932,225000,3,1,3,2
128,22442,62500,2,1,1,0
129,22442,30000,1,1,1,0
130,22442,62500,1,1,0,0
131,22442,175000,2,1,2,1
132,22442,225000,2,1,1,1
133,22442,250000,2,1,1,2
134,22442,-1,1,1,1,1
135,22442,87500,2,1,0,1
136,22442,125000,1,1,0,0
137,22442,125000,1,1,0,1
138,22442,125000,3,1,1,1
139,22442,62500,1,1,0,1
141,64683,62500,2,1,3,0
142,6885,175000,2,1,2,2
143,60968,62500,1,1,2,0
144,26119,125000,3,1,2,3
145,20665,42500,2,1,1,2
146,816,175000,2,1,1,2
147,12125,42500,2,1,2,2
148,31523,87500,4,1,2,2
149,5146,87500,1,1,1,1
