household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
1,23432,225000,4,1,1,2,0_tours
2,23432,-1,2,1,1,2,0_tours
3,23432,17500,2,1,1,2,0_tours
4,17451,87500,1,1,1,1,0_tours
5,23509,42500,1,1,1,1,0_tours
6,28830,30000,1,1,0,1,0_tours
7,3871,30000,1,1,1,1,0_tours
8,23509,-1,1,1,1,1,0_tours
9,14828,42500,2,1,2,1,0_tours
10,21307,125000,2,1,1,2,0_tours
11,8493,125000,2,1,1,2,0_tours
12,8493,225000,2,1,1,2,0_tours
13,61313,42500,1,1,2,1,0_tours
14,744,225000,2,1,1,2,0_tours
15,33091,87500,1,1,0,1,0_tours
16,33091,225000,2,1,0,2,0_tours
17,4866,30000,1,1,1,1,0_tours
18,577,42500,2,1,1,2,0_tours
19,15980,125000,1,1,1,0,0_tours
20,22648,225000,4,1,2,2,0_tours
21,7392,87500,1,1,1,1,0_tours
22,22426,175000,2,1,2,2,0_tours
23,27201,62500,3,1,0,1,0_tours
24,15943,42500,2,1,1,2,0_tours
25,15943,62500,2,1,2,1,0_tours
26,15943,125000,2,1,1,2,0_tours
27,15943,125000,2,1,1,2,0_tours
28,5139,225000,2,1,1,2,0_tours
29,21457,42500,2,1,0,2,0_tours
30,33401,125000,1,1,1,1,0_tours
31,15992,-1,1,1,0,0,0_tours
32,35745,125000,3,1,1,1,0_tours
33,33301,42500,1,1,1,1,0_tours
34,15440,87500,1,1,1,1,0_tours
35,15859,-1,6,1,3,2,1_Shop
36,29311,250000,3,1,1,2,0_tours
37,15985,125000,2,1,0,1,0_tours
38,18337,125000,1,1,1,1,0_tours
39,9301,62500,1,1,1,1,0_tours
40,57631,62500,1,1,1,1,0_tours
41,27486,175000,2,1,0,2,0_tours
42,27486,87500,2,1,1,2,0_tours
43,31525,62500,3,1,1,3,0_tours
44,15153,62500,1,1,1,1,0_tours
45,29144,62500,3,1,0,1,0_tours
46,4354,125000,3,1,0,3,0_tours
47,7106,62500,1,1,1,1,0_tours
48,33604,62500,2,1,1,1,0_tours
49,15437,225000,3,1,1,2,0_tours
50,25634,-1,1,1,0,1,0_tours
51,25634,62500,1,1,1,1,0_tours
52,28983,42500,1,1,1,1,0_tours
53,21158,87500,2,1,2,0,0_tours
54,33218,87500,2,1,2,1,0_tours
55,15975,87500,2,1,0,2,0_tours
56,22080,125000,4,1,2,1,0_tours
57,3285,125000,2,1,2,2,0_tours
58,31233,30000,1,1,1,1,0_tours
59,33078,87500,3,1,1,3,0_tours
60,11596,175000,2,1,1,1,0_tours
61,15619,17500,3,1,1,1,0_tours
62,20407,62500,2,1,4,1,0_tours
63,8763,87500,2,1,2,2,0_tours
64,3864,17500,1,1,0,1,0_tours
65,9778,250000,5,1,4,2,0_tours
66,5849,125000,1,1,1,1,0_tours
67,5849,125000,1,1,1,1,0_tours
68,3892,125000,2,1,1,2,0_tours
69,3892,17500,1,1,1,1,0_tours
70,3892,30000,1,1,0,1,0_tours
71,25925,42500,2,1,0,2,0_tours
72,25925,30000,2,1,0,2,0_tours
73,25925,30000,2,1,0,2,0_tours
74,56053,125000,4,1,2,1,2_DD
75,24496,17500,1,1,0,0,0_tours
76,29541,-1,3,1,2,2,0_tours
77,29541,87500,3,1,1,1,0_tours
78,29541,125000,1,1,1,1,0_tours
79,10924,125000,2,1,2,2,0_tours
80,10924,125000,2,1,1,1,0_tours
81,28362,250000,3,1,1,2,0_tours
82,7704,-1,1,1,1,1,0_tours
83,32658,87500,2,1,2,1,0_tours
84,11618,30000,1,1,0,0,0_tours
85,11618,5000,1,1,1,0,0_tours
86,12573,17500,1,1,1,1,0_tours
87,24239,125000,3,1,2,2,0_tours
88,30456,17500,1,1,1,1,0_tours
89,15908,125000,4,1,2,2,1_Disc
90,13112,87500,1,1,1,1,0_tours
91,4136,-1,2,1,0,2,0_tours
92,19336,125000,4,1,2,3,0_tours
93,6153,225000,5,1,2,5,0_tours
94,3894,62500,1,1,0,1,0_tours
95,6153,125000,2,1,2,2,0_tours
96,6153,125000,2,1,0,1,0_tours
97,6153,42500,2,1,0,1,0_tours
98,6153,5000,2,1,1,2,0_tours
99,6153,-1,2,1,1,2,0_tours
100,6153,87500,2,1,0,2,0_tours
101,19136,125000,3,1,1,2,0_tours
102,19157,125000,2,1,1,2,0_tours
103,19157,62500,1,1,1,1,0_tours
104,19157,125000,2,1,1,1,0_tours
105,19157,62500,2,1,2,2,0_tours
107,20615,62500,1,1,0,1,0_tours
108,21457,87500,1,1,1,0,0_tours
109,28850,175000,1,1,1,1,0_tours
110,6906,250000,4,1,1,1,0_tours
111,2907,175000,2,1,2,2,0_tours
112,16511,125000,2,1,3,1,0_tours
113,18807,17500,1,1,1,0,0_tours
114,10961,30000,1,1,1,1,0_tours
115,5849,125000,2,1,1,1,0_tours
116,16176,175000,5,1,2,2,0_tours
117,21935,-1,1,1,1,0,0_tours
118,13170,125000,1,1,1,1,0_tours
119,33320,175000,2,1,3,2,0_tours
120,23695,17500,4,1,0,0,0_tours
121,15683,62500,1,1,1,1,0_tours
122,15683,42500,2,1,1,2,0_tours
123,27237,62500,3,1,2,1,0_tours
124,3386,-1,1,1,0,1,0_tours
125,9407,250000,1,1,1,1,0_tours
126,23975,42500,2,1,1,2,0_tours
127,4371,175000,1,1,1,1,0_tours
128,33997,62500,1,1,1,1,0_tours
129,27094,-1,3,1,2,1,0_tours
130,25634,17500,1,1,0,0,0_tours
131,25634,17500,1,1,0,0,0_tours
132,19126,125000,1,1,0,0,0_tours
133,12384,87500,2,1,2,2,0_tours
134,24321,250000,3,1,2,2,0_tours
135,20544,30000,1,1,0,1,0_tours
136,3406,-1,1,1,1,0,0_tours
137,3406,62500,1,1,1,0,0_tours
138,3406,225000,1,1,1,1,0_tours
139,2546,87500,1,1,2,1,0_tours
140,21893,175000,1,1,1,1,0_tours
141,5804,87500,1,1,1,1,0_tours
142,7973,30000,1,1,1,1,0_tours
143,13932,225000,3,1,3,2,0_tours
144,22442,225000,2,1,1,1,0_tours
145,22442,250000,2,1,1,2,0_tours
146,22442,87500,2,1,0,1,0_tours
147,22442,42500,1,1,0,0,0_tours
148,22442,125000,2,1,1,0,0_tours
149,22442,125000,1,1,0,0,0_tours
150,22442,87500,1,1,0,1,0_tours
151,28618,87500,2,1,0,1,0_tours
152,22442,125000,3,1,1,1,0_tours
153,22442,62500,1,1,0,1,0_tours
154,20462,87500,2,1,1,1,0_tours
155,9504,250000,2,1,2,2,0_tours
156,31377,62500,2,1,4,2,0_tours
157,60968,62500,1,1,1,1,0_tours
158,60968,62500,1,1,2,0,0_tours
159,26119,125000,3,1,2,3,0_tours
160,20665,42500,2,1,1,2,0_tours
161,816,175000,2,1,1,2,0_tours
162,12125,42500,2,1,2,2,0_tours
163,6789,-1,3,1,1,1,0_tours
164,31523,87500,4,1,2,2,0_tours
165,940,-1,2,1,3,0,0_tours
166,23515,62500,1,1,0,1,0_tours
167,23515,175000,2,1,1,2,0_tours
168,4120,17500,1,1,0,1,0_tours
169,29160,-1,4,1,2,2,1_Main
170,12628,30000,1,1,0,1,0_tours
171,4369,62500,1,1,1,1,0_tours
172,4369,62500,3,1,2,2,0_tours
173,573,87500,3,1,3,2,0_tours
174,871,42500,1,1,1,0,0_tours
175,871,87500,1,1,1,1,0_tours
176,15451,5000,1,1,0,0,0_tours
177,15451,17500,2,1,0,0,0_tours
178,15451,17500,1,1,0,1,0_tours
179,3894,87500,1,1,1,1,0_tours
180,3894,87500,2,1,0,2,0_tours
181,3894,87500,1,1,0,1,0_tours
182,3894,-1,2,1,0,2,0_tours
