tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
3,2.0,83,shopping,non_mandatory,1057,32658,9.0,9.0,SHARED2FREE,0
1,1.0,83,shopping,non_mandatory,1057,32658,9.0,9.0,SHARED2FREE,0
18,11.0,2343,othmaint,non_mandatory,22160,15699,18.0,18.0,SHARED2FREE,0
16,10.0,2343,othmaint,non_mandatory,22160,15699,18.0,18.0,SHARED2FREE,0
96,60.0,508,escort,non_mandatory,19631,20407,15.0,15.0,SHARED3FREE,0
95,60.0,508,shopping,non_mandatory,14587,20407,12.0,12.0,SHARED2FREE,0
93,57.0,508,escort,non_mandatory,19631,20407,15.0,15.0,SHARED3FREE,0
92,57.0,508,shopping,non_mandatory,14587,20407,12.0,12.0,SHARED2FREE,0
127,79.0,65,othmaint,non_mandatory,9336,9778,15.0,15.0,SHARED2FREE,0
122,77.0,65,othmaint,non_mandatory,9336,9778,15.0,15.0,SHARED2FREE,0
129,81.0,65,school,mandatory,33553,9778,8.0,8.0,SHARED3FREE,0
128,80.0,65,school,mandatory,33553,9778,8.0,8.0,SHARED3FREE,0
150,97.0,2233,shopping,non_mandatory,56031,59234,8.0,8.0,SHARED3FREE,0
147,94.0,2233,shopping,joint,56031,59234,8.0,8.0,SHARED3FREE,0
164,106.0,2005,school,mandatory,29891,21174,7.0,7.0,SHARED3FREE,0
163,105.0,2005,school,mandatory,29891,21174,7.0,7.0,SHARED3FREE,0
168,108.0,328,eatout,non_mandatory,21429,4369,19.0,19.0,SHARED2FREE,0
166,107.0,328,eatout,non_mandatory,21429,4369,19.0,19.0,SHARED2FREE,0
176,113.0,1991,shopping,non_mandatory,66099,4583,17.0,17.0,SHARED3FREE,0
172,111.0,1991,shopping,joint,66099,4583,17.0,17.0,SHARED3FREE,0
202,131.0,1934,escort,non_mandatory,2914,15982,18.0,18.0,WALK,0
201,131.0,1934,shopping,non_mandatory,21462,15982,17.0,17.0,WALK,0
200,130.0,1934,escort,non_mandatory,2914,15982,18.0,18.0,WALK,0
199,130.0,1934,shopping,non_mandatory,21462,15982,17.0,17.0,WALK,0
217,139.0,1014,othdiscr,non_mandatory,34155,33663,19.0,19.0,SHARED2FREE,0
215,138.0,1014,othdiscr,non_mandatory,34155,33663,19.0,19.0,SHARED2FREE,0
224,144.0,2176,eatout,non_mandatory,21823,23217,12.0,12.0,SHARED2FREE,0
225,144.0,2176,othdiscr,non_mandatory,30679,23217,14.0,14.0,SHARED2FREE,0
