model_selector,segment,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empoth_p,empret_p,emprsc_p,empsvc_p,emptot_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,logaparks
workplace,work_low,0.81,0.70,0.00,0.06,0.35,0.65,0.02,0.28,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.03
workplace,work_med,0.57,0.27,0.00,0.05,0.29,0.65,0.05,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
workplace,work_high,0.40,0.18,0.00,0.12,0.20,1.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00
workplace,work_veryhigh,0.20,0.01,0.00,0.05,0.17,1.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00
school,university,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
school,gradeschool,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00
school,highschool,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
non_mandatory,escort,0.57,0.00,0.11,0.00,0.28,0.00,0.00,0.38,0.00,1.00,0.00,0.17,0.26,0.04,0.00,0.00
#non_mandatory,escort_kids,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
#non_mandatory,escort_nokids,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
non_mandatory,shopping,0.00,0.68,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.12,0.00,0.01,0.00,0.00,0.00,0.00
non_mandatory,eatout,0.00,1.00,0.00,0.00,0.00,0.06,0.00,0.14,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
non_mandatory,othmaint,0.00,0.00,0.14,0.00,0.00,0.11,0.00,0.65,0.00,1.00,0.00,0.04,0.00,0.00,0.00,0.00
non_mandatory,social,0.00,0.86,0.00,0.00,0.00,0.00,0.18,0.08,0.00,1.00,0.00,0.17,0.00,0.00,0.00,0.24
non_mandatory,othdiscr,0.16,0.22,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.08,0.00,0.00,0.00,0.49
atwork,atwork,0.57,0.27,0.00,0.05,0.29,0.65,0.05,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
trip,work,0.57,0.27,0.00,0.05,0.29,0.65,0.05,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
trip,escort,0.57,0.00,0.11,0.00,0.28,0.00,0.00,0.38,0.00,1.00,0.00,0.17,0.26,0.04,0.00,0.00
trip,shopping,0.00,0.68,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.12,0.00,0.01,0.00,0.00,0.00,0.00
trip,eatout,0.00,1.00,0.00,0.00,0.00,0.06,0.00,0.14,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
trip,othmaint,0.00,0.00,0.14,0.00,0.00,0.11,0.00,0.65,0.00,1.00,0.00,0.04,0.00,0.00,0.00,0.00
trip,social,0.00,0.86,0.00,0.00,0.00,0.00,0.18,0.08,0.00,1.00,0.00,0.17,0.00,0.00,0.00,0.24
trip,othdiscr,0.16,0.22,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.08,0.00,0.00,0.00,0.49
trip,univ,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
#trip,gradeschool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
#trip,highschool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
