"model_selector","segment","empedu_p","empfoo_p","empgov_p","empind_p","empmed_p","empofc_p","empoth_p","empret_p","empsvc_p","emptot_p","log_hh_p","stugrd_p","stuhgh_p","stuuni_p","log_aparks"
"workplace","work_low","0.567098664250754","0.680890195037688","0.095200988588534","0.0615076601325815","0.194655039900994","0.392312471674479","0","0.139212697148952","1","0","0","0","0","0","0"
"workplace","work_med","0.661340533822424","0.460890119864572","0.155411326600814","0.0592113326565707","0.285558579372685","0.68781709166074","0","0.188521525272993","1","0","0","0","0","0","0"
"workplace","work_high","0.463284205110448","0.275694201901293","0.262849953029205","0.139960769581037","0.280958105652684","1","0","0.0763837497776227","0.623246682776085","0","0","0","0","0","0"
"workplace","work_very_high","0.251406875828418","0.0775410205281667","0.17675584859276","0.0829045927405903","0.138677379079879","1","0.00249084076012121","0.00120649605873122","0.303672434070048","0","0","0","0","0","0"
"atwork","atwork","0","1","0","0","0.134958851704535","0.541219767911058","0","0.1414849417976","0.370867224257698","0","0","0","0","0","0.124515942059686"
"non_mandatory","escort","0","0.322721252707787","0","0","0","0","0","0.262276051133733","1","0","0","0.239975544098936","0.060695217973906","0","0"
"non_mandatory","shopping","0","0.675219600928408","0","0","0","0","0","1","0.174342344446436","0","0","0","0","0","0"
"non_mandatory","eatout","0","1","0","0","0","0","0","0.22313016014843","0","0","0","0","0","0","0"
"non_mandatory","othmaint","0","0.63551441140471","0","0","0.641568220695307","0","0","0.653167416238144","1","0","0","0","0","0","0"
"non_mandatory","social","0","0.482660695879968","0","0","0","0","0","0.0612358061791917","0.637947205985191","0","1","0","0","0","0.177728138105703"
"non_mandatory","othdiscr","0.152537844113052","0.235917880075766","0","0","0","0","0","0.140627250299208","1","0","0.841920947142141","0","0","0","0.516577701530473"
"non_mandatory","work","0.414575710496506","0.253849919854178","0.191772271937632","0","0","1","0","0","0.766578849185806","0","0","0","0","0","0"
"non_mandatory","univ","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"school","gradeschool","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"school","highschool","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"school","university","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
