"model_selector","segment","empedu_p","empfoo_p","empgov_p","empind_p","empmed_p","empofc_p","empoth_p","empret_p","empsvc_p","emptot_p","log_hh_p","stugrd_p","stuhgh_p","stuuni_p","log_aparks"
"workplace","work_high",0.435959598672988,0.293440156877493,0.289766698454058,0.926503968946852,0.622197896659638,1,0.418807838502142,0.54986367238392,0.154755349012128,0,0,0,0,0,0
"workplace","work_low",0.351802718320176,0.47140880605518,0.158443883779604,0.67446895092374,0.609245544070969,1,0.312981199641898,0.646846260275088,0.246699763978188,0,0,0,0,0,0
"workplace","work_med",0.428973588486478,0.399420106489536,0.336981390690073,0.93291159259845,0.723907427908693,1,0.469618851810849,0.758152775581211,0.217154304391375,0,0,0,0,0,0
"workplace","work_very_high",0.261124871449471,0.138260982922696,0.161931661814337,0.565106678833703,0.356352206723736,1,0.19678442619389,0.353985428525906,0.0986051362273498,0,0,0,0,0,0
"atwork","atwork",0,1,0,0,0.134958851704535,0.541219767911058,0,0.1414849417976,0.370867224257698,0,0,0,0,0,0.124515942059686
"non_mandatory","escort",0,0.322721252707787,0,0,0,0,0,0.262276051133733,1,0,0,0.239975544098936,0.060695217973906,0,0
"non_mandatory","shopping",0,0.675219600928408,0,0,0,0,0,1,0.174342344446436,0,0,0,0,0,0
"non_mandatory","eatout",0,1,0,0,0,0,0,0.22313016014843,0,0,0,0,0,0,0
"non_mandatory","othmaint",0,0.63551441140471,0,0,0.641568220695307,0,0,0.653167416238144,1,0,0,0,0,0,0
"non_mandatory","social",0,0.482660695879968,0,0,0,0,0,0.0612358061791917,0.637947205985191,0,1,0,0,0,0.177728138105703
"non_mandatory","othdiscr",0.152537844113052,0.235917880075766,0,0,0,0,0,0.140627250299208,1,0,0.841920947142141,0,0,0,0.516577701530473
"non_mandatory","work",0.414575710496506,0.253849919854178,0.191772271937632,0,0,1,0,0,0.766578849185806,0,0,0,0,0,0
"non_mandatory","univ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"school","gradeschool",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"school","highschool",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"school","university",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
